Ticker,Model,MAE,MSE,RMSE,Timestamp
AAPL,ARIMA,13.1026,279.8728,16.7294,2025-10-05 21:29:05
AAPL,ENSEMBLE,3.5581,18.8288,4.3392,2025-10-05 21:30:43
AAPL,LSTM,3.5903,20.1164,4.4851,2025-10-05 21:30:34
AAPL,PROPHET,12.1339,233.8515,15.2922,2025-10-05 21:30:38
AAPL,XGBOOST,3.646,19.7815,4.4476,2025-10-05 21:30:40
JNJ,ARIMA,2.2153,9.5031,3.0827,2025-10-05 21:34:02
JNJ,ENSEMBLE,1.5348,4.3821,2.0934,2025-10-05 21:35:33
JNJ,LSTM,1.2699,2.3012,1.517,2025-10-05 21:35:25
JNJ,PROPHET,19.4083,393.4921,19.8366,2025-10-05 21:35:29
JNJ,XGBOOST,1.8467,8.3759,2.8941,2025-10-05 21:35:31
MSFT,ARIMA,5.1089,34.9515,5.912,2025-10-05 21:30:50
MSFT,ENSEMBLE,5.2861,36.7051,6.0585,2025-10-05 21:32:20
MSFT,LSTM,6.3813,50.3191,7.0936,2025-10-05 21:32:12
MSFT,PROPHET,49.9066,2575.2776,50.7472,2025-10-05 21:32:16
MSFT,XGBOOST,3.9229,21.6747,4.6556,2025-10-05 21:32:18
PFE,ARIMA,1.5213,2.5654,1.6017,2025-10-05 21:32:27
PFE,ENSEMBLE,0.3058,0.2325,0.4822,2025-10-05 21:33:55
PFE,LSTM,0.3053,0.2449,0.4949,2025-10-05 21:33:48
PFE,PROPHET,1.2376,2.7245,1.6506,2025-10-05 21:33:51
PFE,XGBOOST,0.3179,0.2221,0.4713,2025-10-05 21:33:53
