Ticker,Model,MAE,MSE,RMSE
AAPL,ARIMA,5.933,46.9765,6.8539
JNJ,ARIMA,3.3224,21.3768,4.6235
MSFT,ARIMA,20.9399,567.3874,23.8199
PFE,ARIMA,0.4746,0.339,0.5822
AAPL,LSTM,1.8152,4.9852,2.2328
JNJ,LSTM,1.1748,2.5224,1.5882
MSFT,LSTM,8.9143,91.7881,9.5806
PFE,LSTM,0.2366,0.1237,0.3517
AAPL,PROPHET,33.347,1118.1661,33.439
JNJ,PROPHET,3.2854,19.3492,4.3988
MSFT,PROPHET,59.2772,3605.1596,60.043
PFE,PROPHET,0.4325,0.281,0.5301
AAPL,XGBOOST,1.5748,4.6253,2.1507
JNJ,XGBOOST,1.194,2.5384,1.5932
MSFT,XGBOOST,27.105,926.358,30.4361
PFE,XGBOOST,0.2606,0.1425,0.3775
AAPL,ENSEMBLE_REVERSE_RSME,1.5984,4.2184,2.0539
JNJ,ENSEMBLE_REVERSE_RSME,1.1642,2.4117,1.553
MSFT,ENSEMBLE_REVERSE_RSME,13.3165,196.4981,14.0178
PFE,ENSEMBLE_REVERSE_RSME,0.2153,0.1182,0.3437
